timestamp,coin,notional
2026-04-30T21:40:19+00:00,LINK,-208.64648
2026-04-30T21:40:19+00:00,TRUMP,307.19884
2026-04-30T21:55:36+00:00,LINK,-208.2984
2026-04-30T21:55:36+00:00,TRUMP,306.64328
2026-05-01T02:08:43+00:00,LINK,-209.06555
2026-05-01T02:08:43+00:00,TRUMP,308.7234
2026-05-02T01:56:09+00:00,LINK,-208.61442
2026-05-02T01:56:09+00:00,TRUMP,299.4856
2026-05-03T01:59:27+00:00,LINK,-208.32817
2026-05-03T01:59:27+00:00,TRUMP,302.2634
2026-05-04T02:00:26+00:00,LINK,-212.76619
2026-05-04T02:00:26+00:00,TRUMP,303.943
2026-05-05T02:00:20+00:00,LINK,-215.78441
2026-05-05T02:00:20+00:00,TRUMP,300.57088
2026-05-06T01:59:55+00:00,LINK,-225.20776
2026-05-06T01:59:55+00:00,TRUMP,309.3048
2026-05-07T02:02:29+00:00,LINK,-226.939
2026-05-07T02:02:29+00:00,TRUMP,302.88356
